198,,Jarmere Jenkins,USA,233,+8,-,-,-,-,,Thu Jun  4 18:29:22 2015
199,,Uladzimir Ignatik,BLR,233,+54,Prostejov SF,Lost in Jablonec Nad Nisou FLost in Most 2 SF,251,301,,Thu Jun  4 18:29:22 2015
200,,Hans Podlipnik Castillo,CHI,233,+1,-,Lost in Mestre R32Lost in Bacau R16,-,-,,Thu Jun  4 18:29:22 2015
201,,Marius Copil,ROU,230,+1,-,Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
202,,Jose Hernandez Fernandez,DOM,230,-8,-,-,-,-,,Thu Jun  4 18:29:22 2015
203,,Luke Saville,AUS,229,+17,Manchester QF,-,243,294,,Thu Jun  4 18:29:22 2015
204,,Mathias Bourgue,FRA,228,-4,-,Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
205,,Ramkumar Ramanathan,IND,226,+53,-,Lost in Gimcheon R16Mysore W,-,-,,Thu Jun  4 18:29:22 2015
206,,Jason Jung,USA,226,+5,-,-,-,-,,Thu Jun  4 18:29:22 2015
207,,Aldin Setkic,BIH,226,+5,-,Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
208,,Ti Chen,TPE,226,+5,-,Lost in Gimcheon R32,-,-,,Thu Jun  4 18:29:22 2015
209,,Tim Puetz,GER,225,-10,-,-,-,-,,Thu Jun  4 18:29:22 2015
210,,Adam Pavlasek,CZE,225,-25,-,Lost in Vicenza R16Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
211,,Germain Gigounon,BEL,224,-2,-,Lost in Roland Garros R128Lost in Furth R32,-,-,,Thu Jun  4 18:29:22 2015
212,,Potito Starace,ITA,224,-15,Mestre QF,-,238,289,,Thu Jun  4 18:29:22 2015
213,,Jozef Kovalik,SVK,224,-9,Mestre QF,-,238,289,,Thu Jun  4 18:29:22 2015
214,,Pedro Cachin,ARG,223,+12,-,Lost in Vicenza QF,-,-,,Thu Jun  4 18:29:22 2015
215,,Enzo Couacaud,FRA,223,+1,-,-,-,-,,Thu Jun  4 18:29:22 2015
216,,Darian King,BAR,223,+36,-,Cordoba 2 W,-,-,,Thu Jun  4 18:29:22 2015
217,,Roberto Marcora,ITA,223,-22,-,Lost in Vicenza R32Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
218,,Maxime Hamou,FRA,220,+7,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
219,,Rui Machado,POR,216,-1,-,-,-,-,,Thu Jun  4 18:29:22 2015
220,,Matteo Donati,ITA,215,-5,-,Lost in Vicenza R16,-,-,,Thu Jun  4 18:29:22 2015
221,,Mirza Basic,BIH,215,-14,-,-,-,-,,Thu Jun  4 18:29:22 2015
222,,Pere Riba,ESP,214,-33,Mestre R16,Lost in Vicenza R16,222,287,,Thu Jun  4 18:29:22 2015
223,,Yannick Mertens,BEL,214,-1,-,-,-,-,,Thu Jun  4 18:29:22 2015
224,,Daniel Nguyen,USA,214,+18,-,Lost in Gimcheon R32Daegu WLost in Changwon R32,-,-,,Thu Jun  4 18:29:22 2015
225,,Jesse Huta Galung,NED,211,-15,-,-,-,-,,Thu Jun  4 18:29:22 2015
226,,Jaroslav Pospisil,CZE,211,+2,-,-,-,-,,Thu Jun  4 18:29:22 2015
227,,Karen Khachanov,RUS,211,-,-,Lost in Vicenza R32Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
228,,Filippo Volandri,ITA,210,-11,-,Lost in Vicenza R16Lost in Mestre R32,-,-,,Thu Jun  4 18:29:22 2015
229,,Tsung Hua Yang,TPE,208,+2,-,-,-,-,,Thu Jun  4 18:29:22 2015
230,,Connor Smith,USA,207,+41,Gimcheon QF,Lost in Changwon F,208,259,,Thu Jun  4 18:29:22 2015
231,,Edward Corrie,GBR,206,+3,-,Lost in Manchester R32,-,-,,Thu Jun  4 18:29:22 2015
232,,Gianni Mina,FRA,206,-13,-,-,-,-,,Thu Jun  4 18:29:22 2015
233,,Grzegorz Panfil,POL,205,+47,-,Pantiani 2 WPantiani 3 W,-,-,,Thu Jun  4 18:29:22 2015
234,,Jan Mertl,CZE,204,-13,-,Lost in Prostejov R32Lost in Most 2 R32,-,-,,Thu Jun  4 18:29:22 2015
235,,Mohamed Safwat,EGY,204,+3,-,-,-,-,,Thu Jun  4 18:29:22 2015
236,,Andrey Rublev,RUS,203,-28,-,Lost in Vicenza R32,-,-,,Thu Jun  4 18:29:22 2015
