152,,Tobias Kamke,GER,343,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
153,,Jurgen Zopp,EST,339,+3,-,Lost in Qualification 's-Hertogenbosch R2,-,-,,Thu Jun 11 00:00:09 2015
154,,Yuki Bhambri,IND,337,+3,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
155,,Jared Donaldson,USA,335,-3,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
156,,Peter Gojowczyk,GER,328,-8,-,Qualification Stuttgart WLost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
157,,James McGee,IRL,325,+6,Surbiton QF,-,339,390,,Thu Jun 11 00:00:09 2015
158,,John Patrick Smith,AUS,323,+4,Surbiton QF,-,337,388,,Thu Jun 11 00:00:09 2015
159,,Guilherme Clezar,BRA,322,+9,Caltanissetta QF,-,342,422,,Thu Jun 11 00:00:09 2015
160,,Renzo Olivo,ARG,321,+4,Moscow R16,-,330,403,,Thu Jun 11 00:00:09 2015
161,,Kenny De Schepper,FRA,320,-3,-,Lost in Qualification 's-Hertogenbosch R3Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
162,,Marton Fucsovics,HUN,319,+4,Prague QF,-,335,392,,Thu Jun 11 00:00:09 2015
163,,Niels Desein,BEL,313,-3,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
164,,Jason Kubler,AUS,312,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
165,,Igor Sijsling,NED,310,+4,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
166,,Elias Ymer,SWE,310,+5,Caltanissetta R16,-,325,425,,Thu Jun 11 00:00:09 2015
167,,Gastao Elias,POR,305,-12,Caltanissetta R16,-,320,420,,Thu Jun 11 00:00:09 2015
168,,Gerald Melzer,AUT,305,-1,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
169,,Roberto Carballes Baena,ESP,302,+3,Caltanissetta R16,-,317,417,,Thu Jun 11 00:00:09 2015
170,,Somdev Devvarman,IND,296,+3,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
171,,Hiroki Moriya,JPN,294,-1,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
172,,Maxime Authom,BEL,292,+6,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
173,,Evgeny Donskoy,RUS,291,+1,Moscow R16,-,300,373,,Thu Jun 11 00:00:09 2015
174,,Guido Andreozzi,ARG,287,+1,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
175,,Aslan Karatsev,RUS,284,+1,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
176,,Liam Broady,GBR,282,+3,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
177,,Andrea Arnaboldi,ITA,279,+3,Caltanissetta R16,-,294,394,,Thu Jun 11 00:00:09 2015
178,,Luke Saville,AUS,277,+5,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
179,,Andreas Beck,GER,276,+2,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
180,,Nicolas Jarry,CHI,276,-3,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
181,,Brydan Klein,GBR,275,+7,Surbiton QF,-,289,340,,Thu Jun 11 00:00:09 2015
182,,Marius Copil,ROU,274,+14,'s-Hertogenbosch QF,-,319,479,,Thu Jun 11 00:00:09 2015
183,,Matthew Ebden,AUS,274,+6,Surbiton QF,-,288,339,,Thu Jun 11 00:00:09 2015
184,,Jozef Kovalik,SVK,274,+6,Prague QF,-,290,347,,Thu Jun 11 00:00:09 2015
185,,Jan Hernych,CZE,273,-,-,Lost in Qualification 's-Hertogenbosch R3,-,-,,Thu Jun 11 00:00:09 2015
186,,Thomas Fabbiano,ITA,273,-,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
187,,Laslo Djere,SRB,265,-5,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
188,,Christian Lindell,SWE,263,-4,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
189,,Adrian Ungur,ROU,258,+4,-,Lost in Caltanissetta R16,-,-,,Thu Jun 11 00:00:09 2015
190,,Victor Hanescu,ROU,254,+2,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
191,,Jose Hernandez Fernandez,DOM,253,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
192,,Dennis Novikov,USA,252,+6,-,Lost in Caltanissetta R16,-,-,,Thu Jun 11 00:00:09 2015
193,,Germain Gigounon,BEL,249,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
194,,Chase Buchanan,USA,245,+3,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
195,,Radek Stepanek,CZE,242,-36,-,-,-,-,,Thu Jun 11 00:00:09 2015
196,,Tim Puetz,GER,241,+4,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
197,,Nicolas Kicker,ARG,241,+5,-,-,-,-,,Thu Jun 11 00:00:09 2015
198,,Giovanni Lapentti,ECU,240,+3,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
199,,Connor Smith,USA,240,+4,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
200,,Hans Podlipnik Castillo,CHI,240,+8,-,Lost in Prague R16,-,-,,Thu Jun 11 00:00:09 2015
201,,Jason Jung,TPE,238,+5,-,Lost in Surbiton R16,-,-,,Thu Jun 11 00:00:09 2015
202,,Saketh Myneni,IND,237,+3,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
203,,Ruben Ramirez Hidalgo,ESP,235,-9,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
204,,Ze Zhang,CHN,234,-17,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
205,,Jarmere Jenkins,USA,233,+2,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
206,,Frank Dancevic,CAN,232,-45,-,Lost in Qualification Stuttgart R1,-,-,,Thu Jun 11 00:00:09 2015
207,,Alexander Sarkissian,USA,230,+3,Hong Kong QF,-,234,246,,Thu Jun 11 00:00:09 2015
208,,Ramkumar Ramanathan,IND,230,+1,-,Lost in Hong Kong R32,-,-,,Thu Jun 11 00:00:09 2015
209,,Vincent Millot,FRA,228,-10,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
210,,Mathias Bourgue,FRA,228,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
211,,Adam Pavlasek,CZE,226,+4,-,Lost in Prague R16,-,-,,Thu Jun 11 00:00:09 2015
212,,Pedro Cachin,ARG,226,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
213,,Ti Chen,TPE,226,+1,Hong Kong QF,-,229,241,,Thu Jun 11 00:00:09 2015
214,,Darian King,BAR,223,+5,-,-,-,-,,Thu Jun 11 00:00:09 2015
215,,Enzo Couacaud,FRA,220,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
216,,Karen Khachanov,RUS,218,+15,Moscow R16,-,227,300,,Thu Jun 11 00:00:09 2015
217,,Aldin Setkic,BIH,217,-4,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
218,,Rui Machado,POR,216,+3,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
219,,Matteo Donati,ITA,215,+3,-,-,-,-,,Thu Jun 11 00:00:09 2015
220,,Mirza Basic,BIH,215,+3,-,-,-,-,,Thu Jun 11 00:00:09 2015
221,,David Guez,FRA,215,+3,-,-,-,-,,Thu Jun 11 00:00:09 2015
222,,Andrey Rublev,RUS,214,+13,Moscow R16,-,223,296,,Thu Jun 11 00:00:09 2015
223,,Daniel Nguyen,USA,214,+4,-,-,-,-,,Thu Jun 11 00:00:09 2015
224,,Pere Riba,ESP,212,+1,-,Lost in Prague R16,-,-,,Thu Jun 11 00:00:09 2015
225,,Jan Mertl,CZE,212,+14,Prague R16,-,221,294,,Thu Jun 11 00:00:09 2015
226,,Uladzimir Ignatik,BLR,212,-22,-,-,-,-,,Thu Jun 11 00:00:09 2015
227,,Jesse Huta Galung,NED,211,+2,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
228,,Jaroslav Pospisil,CZE,211,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
229,,Yannick Mertens,BEL,211,-3,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
230,,Jordi Samper Montana,ESP,209,-2,Jounieh 2 QF,-,214,233,,Thu Jun 11 00:00:09 2015
231,,Filippo Volandri,ITA,208,-11,-,-,-,-,,Thu Jun 11 00:00:09 2015
232,,Tristan Lamasine,FRA,207,+16,-,Lost in Prague R16,-,-,,Thu Jun 11 00:00:09 2015
233,,Maxime Hamou,FRA,207,-1,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
234,,Liang Chi Huang,TPE,207,+40,-,Wuhan 3 W,-,-,,Thu Jun 11 00:00:09 2015
235,,Edward Corrie,GBR,206,+1,-,Lost in Surbiton R32,-,-,,Thu Jun 11 00:00:09 2015
236,,Antonio Veic,CRO,205,+19,-,Lost in Moscow R16,-,-,,Thu Jun 11 00:00:09 2015
237,,Roberto Marcora,ITA,205,-19,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
238,,Fabiano De Paula,BRA,204,+13,-,Lost in Moscow R16,-,-,,Thu Jun 11 00:00:09 2015
239,,Bradley Klahn,USA,203,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
240,,Tomislav Brkic,BIH,202,+17,-,Lost in Moscow R16,-,-,,Thu Jun 11 00:00:09 2015
241,,Boy Westerhof,NED,202,+3,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
242,,Dennis Novak,AUT,202,+3,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
243,,Matteo Viola,ITA,202,-10,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
244,,Dzmitry Zhyrmont,BLR,200,+2,-,Lost in Qualification Stuttgart R2,-,-,,Thu Jun 11 00:00:09 2015
245,,Tsung Hua Yang,TPE,200,-11,-,Lost in Caltanissetta R32,-,-,,Thu Jun 11 00:00:09 2015
246,,Potito Starace,ITA,199,-30,-,-,-,-,,Thu Jun 11 00:00:09 2015
247,,Juan Carlos Saez,CHI,199,+2,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
248,,Jules Marie,FRA,199,+2,-,Lost in Moscow R32,-,-,,Thu Jun 11 00:00:09 2015
249,,Nils Langer,GER,198,-6,Sarajevo R16,-,200,224,,Thu Jun 11 00:00:09 2015
